geo_id_canada,geo_id_other
26,61
235,61
21,111
248,280
13,283
14,284
257,286
235,245
254,291
27,241
178,242
179,243
246,273
180,244
16,293
249,294
250,295
252,296
253,297
266,298
272,299
264,300
263,301
256,303
265,303
268,304
28,305
270,306
259,307
269,308
20,309
271,310
247,312
19,240
26,313
262,314
260,315
251,316
267,317
575,571
580,562
576,453
577,460
578,147
250,135
